Date,Price,Open,High,Low,Vol.,Change %,Returns,Residuals,Shock_ModelBased,Shock_EventBased
2021-09-24,63.29,60.85,64.5,60.29,4.84K,3.94%,0.03941533913614714,0.03718182812693806,1,0
2021-09-27,64.72,64.25,65.33,64.0,6.05K,2.26%,0.022594406699320668,0.023955001318388843,0,0
2021-09-28,62.29,65.75,66.0,62.07,8.30K,-3.75%,-0.037546353522867726,-0.041274328107510416,1,0
2021-09-29,63.28,63.46,63.5,61.74,7.27K,1.59%,0.015893401830149312,0.012468069138796486,0,0
2021-09-30,62.16,63.27,63.27,60.73,5.41K,-1.77%,-0.017699115044247815,-0.01757144753627044,0,0
2021-10-01,62.45,62.25,64.15,61.53,2.89K,0.47%,0.004665379665379721,0.00394804973241465,0,0
2021-10-04,63.82,63.27,64.9,62.71,3.33K,2.19%,0.02193755004003206,0.02374480745864873,0,0
2021-10-05,65.16,64.25,65.8,64.2,9.91K,2.10%,0.020996552804763313,0.016695410349824632,0,0
2021-10-06,59.58,65.16,65.16,59.35,12.72K,-8.56%,-0.08563535911602205,-0.08623311198218414,1,0
2021-10-07,60.81,60.18,61.11,58.2,9.85K,2.06%,0.020644511581067615,0.013675067362489884,0,0
2021-10-08,58.76,60.49,61.15,58.3,6.56K,-3.37%,-0.03371156059858582,-0.030205180838683468,1,0
2021-10-11,59.58,58.67,60.66,58.49,2.33K,1.40%,0.013955071477195435,0.011019459390455788,0,0
2021-10-12,59.34,59.52,59.91,58.91,3.00K,-0.40%,-0.004028197381671594,-0.0003118003656478385,0,0
2021-10-13,59.45,59.42,60.54,58.65,5.22K,0.19%,0.001853724300640458,-0.0075048425489420145,0,0
2021-10-14,61.79,59.79,62.08,59.79,10.06K,3.94%,0.03936080740117731,0.04014150069222594,1,0
2021-10-15,59.79,62.16,62.19,58.62,4.22K,-3.24%,-0.032367697038355736,-0.03556925240347302,1,0
2021-10-18,58.92,58.93,60.0,57.64,4.49K,-1.46%,-0.014550928248871053,-0.018253250947998522,0,0
2021-10-19,54.92,58.26,58.69,54.45,7.93K,-6.79%,-0.06788866259334692,-0.06856104285313375,1,0
2021-10-20,58.14,55.48,58.48,55.48,6.45K,5.86%,0.05863073561544052,0.054745319971218974,1,0
2021-10-21,58.37,57.8,58.99,56.9,12.64K,0.40%,0.003955968352253203,0.01123733684428589,0,0
2021-10-22,58.64,58.51,60.53,58.44,4.74K,0.46%,0.004625663868425667,-0.0023359795600350237,0,0
2021-10-25,59.35,59.51,60.11,58.92,4.84K,1.21%,0.012107776261937264,0.010731385806806529,0,0
2021-10-26,60.16,59.68,60.54,59.14,5.47K,1.36%,0.013647851727042859,0.006080167751611433,0,0
2021-10-27,60.27,60.0,60.45,59.2,4.64K,0.18%,0.0018284574468085957,0.004267483642487331,0,0
2021-10-28,58.94,59.73,59.84,58.32,3.46K,-2.21%,-0.022067363530778206,-0.02413777731842359,0,0
2021-10-29,59.08,59.3,59.87,58.5,6.87K,0.24%,0.002375296912114022,3.5537363048708265e-05,0,0
2021-11-01,57.29,59.41,60.78,57.0,4.70K,-3.03%,-0.030297901150981743,-0.03008464840023258,1,0
2021-11-02,59.79,57.7,60.0,57.5,15.25K,4.36%,0.04363763309478097,0.0417201765990365,1,0
2021-11-03,60.15,59.86,60.67,59.42,6.88K,0.60%,0.006021073758153639,0.007936610808289946,0,0
2021-11-04,60.18,59.76,61.76,59.25,5.61K,0.05%,0.0004987531172069293,-0.005024088183847124,0,0
2021-11-05,59.73,60.23,61.53,59.63,8.23K,-0.75%,-0.007477567298105781,-0.008575729564305521,0,0
2021-11-08,60.96,60.27,61.43,60.16,10.61K,2.06%,0.02059266700150686,0.01563731509269068,0,0
2021-11-09,60.75,60.35,61.7,60.23,6.80K,-0.34%,-0.0034448818897637734,-0.0009124782161832167,0,0
2021-11-10,63.48,60.45,63.58,60.31,8.93K,4.49%,0.04493827160493824,0.042487412243665146,1,0
2021-11-11,64.02,63.12,64.22,62.4,4.90K,0.85%,0.008506616257088817,0.008770331117002737,0,0
2021-11-12,63.58,63.98,64.81,63.43,4.86K,-0.69%,-0.0068728522336769515,-0.011534373006764765,0,0
2021-11-15,66.22,63.94,67.27,63.94,9.55K,4.15%,0.04152249134948094,0.040916282335214674,1,0
2021-11-16,67.83,66.8,68.1,66.57,8.17K,2.43%,0.024312896405919604,0.023364675078009597,0,0
2021-11-17,67.45,68.15,68.73,67.1,10.94K,-0.56%,-0.0056022408963585235,-0.005470228561990301,0,0
2021-11-18,69.38,67.57,69.49,66.62,9.09K,2.86%,0.028613787991104367,0.026382865169661745,0,0
2021-11-19,69.65,69.47,70.1,68.9,6.42K,0.39%,0.0038916114153937365,0.0023047965009218227,0,0
2021-11-22,70.22,70.09,71.48,69.59,7.51K,0.82%,0.008183776022971934,0.007767548271746853,0,0
2021-11-23,69.49,70.3,70.93,69.1,12.72K,-1.04%,-0.010395898604386278,-0.009997017822724278,0,0
2021-11-24,73.23,69.93,73.48,69.25,13.30K,5.38%,0.0538206936249821,0.05045627268654518,1,0
2021-11-25,74.79,73.58,75.37,72.5,13.11K,2.13%,0.021302744776730886,0.024060436582349888,0,0
2021-11-26,73.12,74.38,74.51,70.7,7.14K,-2.23%,-0.02232918839417042,-0.02598213273747541,0,0
2021-11-29,74.54,74.2,76.06,74.2,13.08K,1.94%,0.019420131291028486,0.016864328829061394,0,0
2021-11-30,75.73,74.12,75.81,73.54,14.83K,1.60%,0.015964582774349312,0.014446989306968895,0,0
2021-12-01,77.2,75.95,78.76,75.6,10.85K,1.94%,0.019411065627888524,0.020786335081335018,0,0
2021-12-02,80.25,76.51,80.35,76.5,15.68K,3.95%,0.03950777202072531,0.03970220928538944,1,0
2021-12-03,78.64,80.41,80.8,78.38,12.64K,-2.01%,-0.0200623052959501,-0.023359951863084993,0,0
2021-12-06,81.65,79.14,82.17,78.74,15.71K,3.83%,0.038275686673448606,0.0350865046406125,1,0
2021-12-07,85.34,82.3,85.94,82.3,19.74K,4.52%,0.045192896509491653,0.046824214429081266,1,0
