Date,Close,High,Low,Open,Volume
23/03/20,7.86930418,8.162159837,7.642577743,8.133818357,926200
24/03/20,8.766763687,8.795105168,8.379439131,8.426674031,1160900
25/03/20,9.201321602,9.446942318,8.681739594,8.917913152,744800
26/03/20,9.541412354,9.683116132,9.333579365,9.333579365,879700
27/03/20,8.965148926,9.220216826,8.889573452,9.106853615,561900
30/03/20,9.040725708,9.050172869,8.842339835,8.974597384,1762500
31/03/20,9.021829605,9.239108834,8.974594716,9.031276763,1219000
01/04/20,8.681738853,8.899018977,8.625057709,8.899018977,439800
02/04/20,8.757316589,8.965148687,8.625059063,8.691187376,342200
03/04/20,8.691186905,8.908467051,8.615611437,8.823444424,391400
06/04/20,9.276898384,9.276898384,8.927361577,8.984043635,494300
07/04/20,9.456391335,9.777587581,9.409156433,9.635882877,708900
08/04/20,9.730351448,9.777586343,9.465837297,9.550859027,1120100
09/04/20,9.92873764,10.07044143,9.768139532,9.881502744,797800
13/04/20,9.853161812,9.909842965,9.635881655,9.872055229,657400
14/04/20,10.01375961,10.16491055,9.881502091,9.947630402,570400
15/04/20,9.692565918,9.758694246,9.5508612,9.739800824,633100
16/04/20,9.673668861,9.777585805,9.588646235,9.711456595,560900
17/04/20,9.938184738,10.04210079,9.853162105,9.90984326,519900
20/04/20,9.80592823,9.975973515,9.749246168,9.834268811,446800
21/04/20,9.465838432,9.730352615,9.446944112,9.654777134,1355800
22/04/20,9.702011108,9.730351686,9.569753579,9.569753579,540700
23/04/20,9.739797592,9.919289094,9.683115544,9.70200986,383300
24/04/20,9.62643528,9.777587137,9.503625804,9.768139977,447400
27/04/20,9.834267616,9.843714776,9.645328935,9.70201099,327500
28/04/20,10.03265285,10.1365689,9.928736811,10.07988775,555900
29/04/20,10.4483223,10.50500347,10.15546658,10.22159492,783700
30/04/20,10.16491032,10.39163672,10.07988769,10.39163672,730300
01/05/20,9.815375328,9.985419711,9.702012106,9.985419711,785600
04/05/20,9.872055054,9.872055054,9.683116378,9.777586166,356300
05/05/20,9.966526985,10.1082308,9.928739242,10.07044305,584300
